date,amount_raw,amount,currency,operation,details,bank,source_file,amount_abs,business_type,business_name,address,city,country,oked_code,oked_description,category
2025-10-26,"-6,100.00 ₸",-6100.0,KZT,Acquiring,BOOK CAFE ASTANA Q. KZ,Freedom Bank Kazakhstan,freedom_en.pdf,6100.0,,BOOK CAFE,,ASTANA,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",покупки
2025-10-27,-486.00 ₸,-486.0,KZT,Acquiring,IP DANIYAROV A ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,486.0,IP,DANIYAROV A,,ASTANA,KZ,,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,покупки
2025-10-28,"-1,070.00 ₸",-1070.0,KZT,Acquiring,SUPERMARKET GALMART NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1070.0,,SUPERMARKET GALMART,,ASTANA,KZ,,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",покупки
2025-10-28,"-33,600.00 ₸",-33600.0,KZT,Acquiring,TLP ASTANA Nur-Sultan KZ,Freedom Bank Kazakhstan,freedom_en.pdf,33600.0,,TLP ASTANA,,ASTANA,KZ,,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки",рестораны и кафе
2025-10-30,"-3,500.00 ₸",-3500.0,KZT,Transfer,Әкімәлі Едіге Сержанұлы Безвозмездный перевод,Freedom Bank Kazakhstan,freedom_en.pdf,3500.0,,,,,,,,покупки
2025-10-31,"-4,850.00 ₸",-4850.0,KZT,Pending amount,BUTIK MARWIN IPP 2 ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,4850.0,IPP,BUTIK MARWIN,,ASTANA,KZ,,"Прочая деятельность по предоставлению вспомогательных коммерческих услуг, не включенная в другие группировки",покупки
2025-10-31,"-7,900.00 ₸",-7900.0,KZT,Pending amount,ALYE PARUSA MEGA SILK WAY ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,7900.0,,ALYE PARUSA,MEGA SILK WAY,ASTANA,KZ,,"Производство прочих видов одежды и аксессуаров, не включенных в другие группировки",рестораны и кафе
2025-10-31,-550.00 ₸,-550.0,KZT,Pending amount,CHOCOLATE 2 NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_en.pdf,550.0,,CHOCOLATE,,ASTANA,KZ,,Предоставление услуг парикмахерскими и салонами красоты,рестораны и кафе
2025-10-31,"-72,796.00 ₸",-72796.0,KZT,Others,по договору KZ09551H600021891KZT в сумме 72796 KZT. Вкладчик:Арстангалиев Рауан Арманұлы.,Freedom Bank Kazakhstan,freedom_en.pdf,72796.0,,,,,,,,переводы
2025-10-31,"-1,214.00 ₸",-1214.0,KZT,Pending amount,MAGNUM.NSF15.KASSA-1. ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1214.0,,MAGNUM NSF15 KASSA,,ASTANA,KZ,,"Оптовая торговля прочими непродовольственными товарами потребительского назначения, не включенными в другие группировки",супермаркеты
2025-10-31,"-25,990.00 ₸",-25990.0,KZT,Pending amount,ZARA HOME KSH3 BOUTIQUE ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,25990.0,,ZARA HOME KSH3 BOUTIQUE,,ASTANA,KZ,,"Деятельность агентов, специализирующихся на оптовой торговле отдельными видами товаров или группами товаров, не включенными в другие группировки",покупки
2025-11-01,"-1,120.00 ₸",-1120.0,KZT,Pending amount,IP BERSINOVA S.IM.B.MOMYSH KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1120.0,IP,BERSINOVA S IM B MOMYSH,,,KZ,,Производство кухонной мебели,покупки
2025-11-01,"-7,623.00 ₸",-7623.0,KZT,Pending amount,YANDEX.EDA ALMATY KZ,Freedom Bank Kazakhstan,freedom_en.pdf,7623.0,,YANDEX EDA,,ALMATY,KZ,ONLINE,Рестораны и услуги по доставке продуктов питания,рестораны и кафе
2025-11-01,"-5,000.00 ₸",-5000.0,KZT,Pending amount,Перевод с карты на карту,Freedom Bank Kazakhstan,freedom_en.pdf,5000.0,,Перевод с карты на карту,,,,,,покупки
