date,amount_raw,amount,currency,operation,merchant,details,bank,source_file,category
2025-01-08,"- 3 000,00 KZT",-3000.0,KZT,Перевод,Нурдаулет И.,Нурдаулет И.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-08,"- 8 815,00 KZT",-8815.0,KZT,Покупка,Kazticket.kz,Kazticket.kz,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-08,"- 200,00 KZT",-200.0,KZT,Покупка,Магазин Гаухар,Магазин Гаухар,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-08,"- 14 500,00 KZT",-14500.0,KZT,Покупка,FLOCO AST,FLOCO AST,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-08,"- 110,00 KZT",-110.0,KZT,Покупка,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement_1.pdf,транспорт
2025-01-08,"- 190,00 KZT",-190.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-08,"+ 390,00 KZT",390.0,KZT,Пополнение,Дінмұхамед Р.,Дінмұхамед Р.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-08,"- 740,00 KZT",-740.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-08,"- 210,00 KZT",-210.0,KZT,Покупка,Шагынмаркет ЖАЙЛЫ,Шагынмаркет ЖАЙЛЫ,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-08,"+ 2 100,00 KZT",2100.0,KZT,Пополнение,Айдос Д.,Айдос Д.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-09,"- 999,00 KZT",-999.0,KZT,,Purchases Magnum Cash&Carry,Purchases Magnum Cash&Carry,Kaspi Bank,gold_statement (3).pdf,супермаркеты
2025-01-09,"- 6 000,00 KZT",-6000.0,KZT,,Transfers Асел К.,Transfers Асел К.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-09,"- 2 510,00 KZT",-2510.0,KZT,,Purchases DN-market,Purchases DN-market,Kaspi Bank,gold_statement.pdf,покупки
2025-01-09,"+ 7 200,00 KZT",7200.0,KZT,,Replenishment Томирис Р.,Replenishment Томирис Р.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-09,"- 15 455,00 KZT",-15455.0,KZT,,Purchases Take eat easy,Purchases Take eat easy,Kaspi Bank,gold_statement.pdf,покупки
2025-01-09,"+ 20 000,00 KZT",20000.0,KZT,,Replenishment In the Kaspi Terminal,Replenishment In the Kaspi Terminal,Kaspi Bank,gold_statement.pdf,покупки
2025-01-09,"- 1 000,00 KZT",-1000.0,KZT,Перевод,Меруерт М.,Меруерт М.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-09,"- 2 050,00 KZT",-2050.0,KZT,Покупка,Аскар Мунай Трейд,Аскар Мунай Трейд,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-09,"+ 980,00 KZT",980.0,KZT,Пополнение,Санжар С.,Санжар С.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-09,"- 180,00 KZT",-180.0,KZT,Покупка,ИП Капарова,ИП Капарова,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-09,"- 20 000,00 KZT",-20000.0,KZT,Перевод,Бахитжан А.,Бахитжан А.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-09,"+ 20 935,22 KZT",20935.22,KZT,Пополнение,С карты другого банка,С карты другого банка,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-09,"- 2 050,00 KZT",-2050.0,KZT,Покупка,АЗС-7,АЗС-7,Kaspi Bank,gold_statement_1.pdf,транспорт
2025-01-10,"- 475,00 KZT",-475.0,KZT,,Others Commission for transfer of other banks,Others Commission for transfer of other banks,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-10,"- 50 000,00 KZT",-50000.0,KZT,,Transfers To card Home Credit Bank*5703,Transfers To card Home Credit Bank*5703,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-10,"- 22 715,00 KZT",-22715.0,KZT,,Transfers Pay for Kaspi Credit,Transfers Pay for Kaspi Credit,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-10,"- 88 560,00 KZT",-88560.0,KZT,,Transfers Едіге Ə.,Transfers Едіге Ə.,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-10,"+ 140 000,00 KZT",140000.0,KZT,,Replenishment Асел К.,Replenishment Асел К.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-10,"- 26 587,00 KZT",-26587.0,KZT,,Purchases ИП ГИНЗА,Purchases ИП ГИНЗА,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-10,"- 6 458,00 KZT",-6458.0,KZT,,Purchases YANDEX.EDA,Purchases YANDEX.EDA,Kaspi Bank,gold_statement.pdf,транспорт
2025-01-10,"+ 6 500,00 KZT",6500.0,KZT,,Replenishment Қайсар О.,Replenishment Қайсар О.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-10,"- 27 500,00 KZT",-27500.0,KZT,,Purchases NU.EDU.KZ,Purchases NU.EDU.KZ,Kaspi Bank,gold_statement.pdf,покупки
2025-01-10,"+ 5 000,00 KZT",5000.0,KZT,,Replenishment Сагит И.,Replenishment Сагит И.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-10,"- 5 000,00 KZT",-5000.0,KZT,Перевод,Оксана М.,Оксана М.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-10,"+ 5 000,00 KZT",5000.0,KZT,Пополнение,Карина Ж.,Карина Ж.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-10,"+ 1 000,00 KZT",1000.0,KZT,Пополнение,Бахитжан А.,Бахитжан А.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-10,"- 120,00 KZT",-120.0,KZT,Покупка,Магазин Гаухар,Магазин Гаухар,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-10,"- 1 500,00 KZT",-1500.0,KZT,Перевод,Айда У.,Айда У.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-10,"- 110,00 KZT",-110.0,KZT,Покупка,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement_1.pdf,транспорт
2025-01-10,"- 532,00 KZT",-532.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-10,"- 120,00 KZT",-120.0,KZT,Покупка,Burabay,Burabay,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-11,"- 500,00 KZT",-500.0,KZT,,Purchases ИП Берсиновв,Purchases ИП Берсиновв,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-11,"- 350,00 KZT",-350.0,KZT,,Purchases Corner Meal,Purchases Corner Meal,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-11,"- 110,00 KZT",-110.0,KZT,,Transfers Kozibek T.,Transfers Kozibek T.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-11,"- 300,00 KZT",-300.0,KZT,,Purchases Парковка. ТРЦ Mega Silkway,Purchases Парковка. ТРЦ Mega Silkway,Kaspi Bank,gold_statement.pdf,транспорт
2025-01-11,"- 42,00 KZT",-42.0,KZT,,Purchases Супермаркет GALMART,Purchases Супермаркет GALMART,Kaspi Bank,gold_statement.pdf,супермаркеты
2025-01-11,"+ 2 400,00 KZT",2400.0,KZT,Пополнение,Айдос Д.,Айдос Д.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-11,"- 200,00 KZT",-200.0,KZT,Покупка,1F12 APERO Куйши Дина 46,1F12 APERO Куйши Дина 46,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-11,"+ 575,00 KZT",575.0,KZT,Пополнение,Рауан Ж.,Рауан Ж.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-11,"- 575,00 KZT",-575.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-11,"+ 1 000,00 KZT",1000.0,KZT,Пополнение,Мадияр К.,Мадияр К.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-11,"- 60,00 KZT",-60.0,KZT,Покупка,сания,сания,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-11,"- 110,00 KZT",-110.0,KZT,Покупка,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement_1.pdf,транспорт
2025-01-11,"- 1 793,50 KZT",-1793.5,KZT,Покупка,Аскар Мунай Трейд,Аскар Мунай Трейд,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-11,"+ 200,00 KZT",200.0,KZT,Пополнение,Ұлан Т.,Ұлан Т.,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-12,"- 5 000,00 KZT",-5000.0,KZT,Перевод,Темірлан Қ.,Темірлан Қ.,Kaspi Bank,gold_statement (2).pdf,покупки
2025-01-12,"+ 5 000,00 KZT",5000.0,KZT,Пополнение,С карты другого банка,С карты другого банка,Kaspi Bank,gold_statement (2).pdf,переводы
2025-01-12,"- 980,00 KZT",-980.0,KZT,Покупка,Аппарат самообслуживания,Аппарат самообслуживания,Kaspi Bank,gold_statement (2).pdf,покупки
2025-01-12,"- 150,00 KZT",-150.0,KZT,Покупка,Аппарат самообслуживания,Аппарат самообслуживания,Kaspi Bank,gold_statement (2).pdf,покупки
2025-01-12,"- 2 020,00 KZT",-2020.0,KZT,Покупка,YANDEX.GO,YANDEX.GO,Kaspi Bank,gold_statement (2).pdf,транспорт
2025-01-12,"- 500,00 KZT",-500.0,KZT,,Purchases ИП Берсиновв,Purchases ИП Берсиновв,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-12,"- 1 560,00 KZT",-1560.0,KZT,,Purchases ИП Берсиновв,Purchases ИП Берсиновв,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-12,"- 350,00 KZT",-350.0,KZT,,Purchases Corner Meal,Purchases Corner Meal,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-12,"- 910,00 KZT",-910.0,KZT,,Transfers Темірлан М.,Transfers Темірлан М.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-12,"- 8 000,00 KZT",-8000.0,KZT,Покупка,HERO 7,HERO 7,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-12,"+ 3 000,00 KZT",3000.0,KZT,Пополнение,Медгат А.,Медгат А.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-12,"+ 6 000,00 KZT",6000.0,KZT,Пополнение,Амангелді А.,Амангелді А.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-12,"- 23 831,00 KZT",-23831.0,KZT,Перевод,Оплата Kaspi Кредита,Оплата Kaspi Кредита,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-12,"+ 10 500,00 KZT",10500.0,KZT,Пополнение,Алибек А.,Алибек А.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-12,"+ 400,00 KZT",400.0,KZT,Пополнение,Алмас Б.,Алмас Б.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-12,"+ 13 000,00 KZT",13000.0,KZT,Пополнение,Алмас Б.,Алмас Б.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-12,"- 320,00 KZT",-320.0,KZT,Покупка,Айна,Айна,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-12,"- 2 100,00 KZT",-2100.0,KZT,Покупка,PANINI ARU,PANINI ARU,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-12,"+ 2 100,00 KZT",2100.0,KZT,Пополнение,Рауан Ж.,Рауан Ж.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-12,"- 300,00 KZT",-300.0,KZT,Перевод,Айдос Д.,Айдос Д.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-12,"- 70,00 KZT",-70.0,KZT,Покупка,ип абилтаева,ип абилтаева,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-12,"- 2 500,00 KZT",-2500.0,KZT,Покупка,АЗС-12,АЗС-12,Kaspi Bank,gold_statement_1.pdf,транспорт
2025-01-13,"- 240,00 KZT",-240.0,KZT,Покупка,USM Astana,USM Astana,Kaspi Bank,gold_statement (2).pdf,покупки
2025-01-13,"+ 4 300,00 KZT",4300.0,KZT,,Replenishment Адилет Ш.,Replenishment Адилет Ш.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-13,"- 3 400,00 KZT",-3400.0,KZT,,Transfers Ильяс Т.,Transfers Ильяс Т.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-13,"+ 10 000,00 KZT",10000.0,KZT,,Replenishment Кербез К.,Replenishment Кербез К.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-13,"- 10 000,00 KZT",-10000.0,KZT,,Transfers Кербез К.,Transfers Кербез К.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-13,"- 1 110,00 KZT",-1110.0,KZT,,Transfers Алишер С.,Transfers Алишер С.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-13,"- 21 000,00 KZT",-21000.0,KZT,,Transfers To Kaspi Deposit,Transfers To Kaspi Deposit,Kaspi Bank,gold_statement.pdf,покупки
2025-01-13,"- 10 000,00 KZT",-10000.0,KZT,,Transfers Рауан А.,Transfers Рауан А.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-13,"- 1 000,00 KZT",-1000.0,KZT,,Purchases продукты,Purchases продукты,Kaspi Bank,gold_statement.pdf,покупки
2025-01-13,"+ 26 000,00 KZT",26000.0,KZT,,Replenishment In the Kaspi Terminal,Replenishment In the Kaspi Terminal,Kaspi Bank,gold_statement.pdf,покупки
2025-01-13,"+ 4 100,00 KZT",4100.0,KZT,,Replenishment Елдана К.,Replenishment Елдана К.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-13,"- 8 107,00 KZT",-8107.0,KZT,,Purchases Семейное кафе «Мико» на Улы Дала,Purchases Семейное кафе «Мико» на Улы Дала,Kaspi Bank,gold_statement.pdf,покупки
2025-01-13,"+ 10 000,00 KZT",10000.0,KZT,,Replenishment Рауан А.,Replenishment Рауан А.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-13,"- 319,00 KZT",-319.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-13,"+ 1 000,00 KZT",1000.0,KZT,Пополнение,Медгат А.,Медгат А.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-13,"- 110,00 KZT",-110.0,KZT,Покупка,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement_1.pdf,транспорт
2025-01-14,"- 1 500,00 KZT",-1500.0,KZT,Перевод,Роза С.,Роза С.,Kaspi Bank,gold_statement (2).pdf,переводы
2025-01-14,"- 146,00 KZT",-146.0,KZT,,Purchases Magnum Cash&Carry,Purchases Magnum Cash&Carry,Kaspi Bank,gold_statement (3).pdf,супермаркеты
2025-01-14,"+ 44 280,00 KZT",44280.0,KZT,,Replenishment Бекслан Қ.,Replenishment Бекслан Қ.,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-14,"+ 8 000,00 KZT",8000.0,KZT,,Replenishment Ерсұлтан О.,Replenishment Ерсұлтан О.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-14,"- 1 710,00 KZT",-1710.0,KZT,,Purchases Леонардо,Purchases Леонардо,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-14,"- 1 900,00 KZT",-1900.0,KZT,,Purchases Супермаркет GALMART,Purchases Супермаркет GALMART,Kaspi Bank,gold_statement (3).pdf,супермаркеты
2025-01-14,"- 415,00 KZT",-415.0,KZT,,Purchases Green Food,Purchases Green Food,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-14,"- 300,00 KZT",-300.0,KZT,,Purchases Парковка. ТРЦ Mega Silkway,Purchases Парковка. ТРЦ Mega Silkway,Kaspi Bank,gold_statement.pdf,транспорт
2025-01-14,"- 2 000,00 KZT",-2000.0,KZT,,Purchases The Saem,Purchases The Saem,Kaspi Bank,gold_statement.pdf,подписки
2025-01-14,"- 1 600,00 KZT",-1600.0,KZT,,Purchases Green Food,Purchases Green Food,Kaspi Bank,gold_statement.pdf,покупки
2025-01-14,"+ 5 000,00 KZT",5000.0,KZT,,Replenishment From Kaspi Deposit,Replenishment From Kaspi Deposit,Kaspi Bank,gold_statement.pdf,покупки
2025-01-14,"+ 1 400,00 KZT",1400.0,KZT,Пополнение,Медгат А.,Медгат А.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-14,"- 1 400,00 KZT",-1400.0,KZT,Покупка,BRO ENU,BRO ENU,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-14,"- 1 200,00 KZT",-1200.0,KZT,Покупка,BRO ENU,BRO ENU,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-14,"+ 1 600,00 KZT",1600.0,KZT,Пополнение,С карты другого банка,С карты другого банка,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-14,"- 6 400,00 KZT",-6400.0,KZT,Покупка,BRO ENU,BRO ENU,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-14,"+ 1 600,00 KZT",1600.0,KZT,Пополнение,Медгат А.,Медгат А.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-14,"+ 5 000,00 KZT",5000.0,KZT,Пополнение,Ерасыл С.,Ерасыл С.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-14,"- 110,00 KZT",-110.0,KZT,Покупка,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement_1.pdf,транспорт
2025-01-14,"- 289,00 KZT",-289.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-14,"- 1 413,00 KZT",-1413.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-15,"- 300,00 KZT",-300.0,KZT,Покупка,DailyCup,DailyCup,Kaspi Bank,gold_statement (2).pdf,рестораны и кафе
2025-01-15,"- 320,00 KZT",-320.0,KZT,,Purchases Corner Meal,Purchases Corner Meal,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-15,"+ 4 300,00 KZT",4300.0,KZT,,Replenishment Болат Л.,Replenishment Болат Л.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-15,"- 1 640,00 KZT",-1640.0,KZT,,Purchases Сенсата парк,Purchases Сенсата парк,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-15,"- 1 010,00 KZT",-1010.0,KZT,,Purchases Corner Meal,Purchases Corner Meal,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-15,"- 404,00 KZT",-404.0,KZT,,"Purchases ТОО ""ОФИС ДОМ.kz"" /ОФИС ДОМ.кз/","Purchases ТОО ""ОФИС ДОМ.kz"" /ОФИС ДОМ.кз/",Kaspi Bank,gold_statement.pdf,покупки
2025-01-15,"- 4 412,00 KZT",-4412.0,KZT,,"Purchases ТОО ""ОФИС ДОМ.kz"" /ОФИС ДОМ.кз/","Purchases ТОО ""ОФИС ДОМ.kz"" /ОФИС ДОМ.кз/",Kaspi Bank,gold_statement.pdf,покупки
2025-01-15,"- 500,00 KZT",-500.0,KZT,,Purchases Сенсата парк,Purchases Сенсата парк,Kaspi Bank,gold_statement.pdf,покупки
2025-01-15,"+ 3 000,00 KZT",3000.0,KZT,,Replenishment Камила И.,Replenishment Камила И.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-15,"+ 3 000,00 KZT",3000.0,KZT,,Replenishment Ұлпан Қ.,Replenishment Ұлпан Қ.,Kaspi Bank,gold_statement.pdf,покупки
2025-01-15,"+ 3 000,00 KZT",3000.0,KZT,,Replenishment Альнура Е.,Replenishment Альнура Е.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-15,"- 213,00 KZT",-213.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-15,"- 10 500,00 KZT",-10500.0,KZT,Перевод,Мөлдір Б.,Мөлдір Б.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-15,"- 6 000,00 KZT",-6000.0,KZT,Перевод,Айдос Д.,Айдос Д.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-15,"- 5 000,00 KZT",-5000.0,KZT,Перевод,Ерасыл С.,Ерасыл С.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-15,"- 6 000,00 KZT",-6000.0,KZT,Перевод,Амангелді А.,Амангелді А.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-15,"+ 56 471,11 KZT",56471.11,KZT,Пополнение,С карты другого банка,С карты другого банка,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-15,"- 510,00 KZT",-510.0,KZT,Покупка,SMALL,SMALL,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-15,"+ 600,00 KZT",600.0,KZT,Пополнение,Мөлдір Б.,Мөлдір Б.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-16,"+ 500,00 KZT",500.0,KZT,Пополнение,Əділет Т.,Əділет Т.,Kaspi Bank,gold_statement (2).pdf,покупки
2025-01-16,"- 20 000,00 KZT",-20000.0,KZT,,Transfers Айдос Б.,Transfers Айдос Б.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-16,"- 250,00 KZT",-250.0,KZT,,Transfers Айтөре Қ.,Transfers Айтөре Қ.,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-16,"- 2 065,00 KZT",-2065.0,KZT,,Purchases ИП Берсиновв,Purchases ИП Берсиновв,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-16,"- 10 000,00 KZT",-10000.0,KZT,,Transfers Асел К.,Transfers Асел К.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-16,"- 1 673,00 KZT",-1673.0,KZT,,Purchases OZON,Purchases OZON,Kaspi Bank,gold_statement.pdf,маркетплейсы
2025-01-16,"- 7 608,00 KZT",-7608.0,KZT,,Purchases OZON,Purchases OZON,Kaspi Bank,gold_statement.pdf,маркетплейсы
2025-01-16,"+ 404,00 KZT",404.0,KZT,,"Purchases ТОО ""ОФИС ДОМ.kz"" /ОФИС ДОМ.кз/","Purchases ТОО ""ОФИС ДОМ.kz"" /ОФИС ДОМ.кз/",Kaspi Bank,gold_statement.pdf,покупки
2025-01-16,"+ 4 412,00 KZT",4412.0,KZT,,"Purchases ТОО ""ОФИС ДОМ.kz"" /ОФИС ДОМ.кз/","Purchases ТОО ""ОФИС ДОМ.kz"" /ОФИС ДОМ.кз/",Kaspi Bank,gold_statement.pdf,покупки
2025-01-16,"- 900,00 KZT",-900.0,KZT,Покупка,Бахтияр Магазин,Бахтияр Магазин,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-16,"- 389,00 KZT",-389.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-16,"- 299,00 KZT",-299.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-17,"- 1 285,00 KZT",-1285.0,KZT,,Purchases ИП Берсиновв,Purchases ИП Берсиновв,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-17,"+ 1 290,00 KZT",1290.0,KZT,,Purchases ИП VERSAILLES,Purchases ИП VERSAILLES,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-17,"- 110,00 KZT",-110.0,KZT,,Purchases Avtobys. Оплата проезда по QR,Purchases Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement (3).pdf,транспорт
2025-01-17,"- 3 754,00 KZT",-3754.0,KZT,,"Purchases ИП ""АЛДАНГОРОВА ДИНА""","Purchases ИП ""АЛДАНГОРОВА ДИНА""",Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-17,"- 840,00 KZT",-840.0,KZT,,Purchases 12 месяцев Астана,Purchases 12 месяцев Астана,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-17,"- 350,00 KZT",-350.0,KZT,,Purchases Акмолинский филиал товарищества с ограниченной,Purchases Акмолинский филиал товарищества с ограниченной отв,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-17,"- 1 290,00 KZT",-1290.0,KZT,,Purchases ИП VERSAILLES,Purchases ИП VERSAILLES,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-17,"+ 1 176,00 KZT",1176.0,KZT,,Replenishment Аида С.,Replenishment Аида С.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-17,"- 2 560,00 KZT",-2560.0,KZT,,Purchases продукты,Purchases продукты,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-17,"+ 2 300,00 KZT",2300.0,KZT,,Replenishment Кербез К.,Replenishment Кербез К.,Kaspi Bank,gold_statement (3).pdf,переводы
2025-01-17,"- 520,00 KZT",-520.0,KZT,,Purchases ИП Берсиновв,Purchases ИП Берсиновв,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-17,"- 2 300,00 KZT",-2300.0,KZT,,Purchases Green Food,Purchases Green Food,Kaspi Bank,gold_statement (3).pdf,покупки
2025-01-17,"+ 3 000,00 KZT",3000.0,KZT,,Replenishment Ұлпан Қ.,Replenishment Ұлпан Қ.,Kaspi Bank,gold_statement.pdf,покупки
2025-01-17,"+ 3 000,00 KZT",3000.0,KZT,,Replenishment Камила И.,Replenishment Камила И.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-17,"- 2 300,00 KZT",-2300.0,KZT,,Transfers Рауан А.,Transfers Рауан А.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-17,"+ 3 000,00 KZT",3000.0,KZT,,Replenishment Альнура Е.,Replenishment Альнура Е.,Kaspi Bank,gold_statement.pdf,переводы
2025-01-17,"- 2 280,00 KZT",-2280.0,KZT,Покупка,Hero7,Hero7,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-17,"- 570,00 KZT",-570.0,KZT,Покупка,Hero7,Hero7,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-17,"- 1 100,00 KZT",-1100.0,KZT,Покупка,Ип Медина,Ип Медина,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-17,"- 5 000,00 KZT",-5000.0,KZT,Покупка,HERO 7,HERO 7,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-17,"+ 1 900,00 KZT",1900.0,KZT,Пополнение,Динара Ж.,Динара Ж.,Kaspi Bank,gold_statement_1.pdf,переводы
2025-01-17,"- 300,00 KZT",-300.0,KZT,Покупка,PANINI ARU,PANINI ARU,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-17,"- 3 850,00 KZT",-3850.0,KZT,Покупка,PANINI ARU,PANINI ARU,Kaspi Bank,gold_statement_1.pdf,покупки
2025-01-17,"- 780,00 KZT",-780.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-17,"- 140,00 KZT",-140.0,KZT,Покупка,Шагынмаркет ЖАЙЛЫ,Шагынмаркет ЖАЙЛЫ,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2025-01-18,"- 2 000,00 KZT",-2000.0,KZT,Перевод,Дінмұхаммед С.,Дінмұхаммед С.,Kaspi Bank,gold_statement (2).pdf,переводы
